img,label
D:/study/iris/CASIA-Iris-Thousand\581\R\S5581R01.jpg,581
D:/study/iris/CASIA-Iris-Thousand\080\L\S5080L03.jpg,80
D:/study/iris/CASIA-Iris-Thousand\340\R\S5340R09.jpg,340
D:/study/iris/CASIA-Iris-Thousand\031\L\S5031L09.jpg,31
D:/study/iris/CASIA-Iris-Thousand\468\R\S5468R07.jpg,468
D:/study/iris/CASIA-Iris-Thousand\020\R\S5020R03.jpg,20
D:/study/iris/CASIA-Iris-Thousand\317\R\S5317R00.jpg,317
D:/study/iris/CASIA-Iris-Thousand\907\L\S5907L09.jpg,907
D:/study/iris/CASIA-Iris-Thousand\173\R\S5173R06.jpg,173
D:/study/iris/CASIA-Iris-Thousand\572\L\S5572L02.jpg,572
D:/study/iris/CASIA-Iris-Thousand\994\L\S5994L03.jpg,994
D:/study/iris/CASIA-Iris-Thousand\342\R\S5342R09.jpg,342
D:/study/iris/CASIA-Iris-Thousand\208\R\S5208R05.jpg,208
D:/study/iris/CASIA-Iris-Thousand\684\L\S5684L03.jpg,684
D:/study/iris/CASIA-Iris-Thousand\406\R\S5406R00.jpg,406
D:/study/iris/CASIA-Iris-Thousand\669\R\S5669R02.jpg,669
D:/study/iris/CASIA-Iris-Thousand\190\R\S5190R04.jpg,190
D:/study/iris/CASIA-Iris-Thousand\992\R\S5992R08.jpg,992
D:/study/iris/CASIA-Iris-Thousand\818\R\S5818R04.jpg,818
D:/study/iris/CASIA-Iris-Thousand\268\R\S5268R04.jpg,268
D:/study/iris/CASIA-Iris-Thousand\748\L\S5748L06.jpg,748
D:/study/iris/CASIA-Iris-Thousand\107\R\S5107R02.jpg,107
D:/study/iris/CASIA-Iris-Thousand\885\R\S5885R03.jpg,885
D:/study/iris/CASIA-Iris-Thousand\054\L\S5054L09.jpg,54
D:/study/iris/CASIA-Iris-Thousand\494\L\S5494L08.jpg,494
D:/study/iris/CASIA-Iris-Thousand\642\L\S5642L07.jpg,642
D:/study/iris/CASIA-Iris-Thousand\479\R\S5479R01.jpg,479
D:/study/iris/CASIA-Iris-Thousand\412\R\S5412R09.jpg,412
D:/study/iris/CASIA-Iris-Thousand\781\L\S5781L07.jpg,781
D:/study/iris/CASIA-Iris-Thousand\701\L\S5701L07.jpg,701
D:/study/iris/CASIA-Iris-Thousand\175\R\S5175R05.jpg,175
D:/study/iris/CASIA-Iris-Thousand\793\L\S5793L03.jpg,793
D:/study/iris/CASIA-Iris-Thousand\194\R\S5194R02.jpg,194
D:/study/iris/CASIA-Iris-Thousand\589\L\S5589L09.jpg,589
D:/study/iris/CASIA-Iris-Thousand\607\L\S5607L09.jpg,607
D:/study/iris/CASIA-Iris-Thousand\141\L\S5141L09.jpg,141
D:/study/iris/CASIA-Iris-Thousand\663\R\S5663R06.jpg,663
D:/study/iris/CASIA-Iris-Thousand\941\R\S5941R06.jpg,941
D:/study/iris/CASIA-Iris-Thousand\308\R\S5308R00.jpg,308
D:/study/iris/CASIA-Iris-Thousand\176\L\S5176L04.jpg,176
D:/study/iris/CASIA-Iris-Thousand\353\R\S5353R06.jpg,353
D:/study/iris/CASIA-Iris-Thousand\849\R\S5849R07.jpg,849
D:/study/iris/CASIA-Iris-Thousand\282\L\S5282L06.jpg,282
D:/study/iris/CASIA-Iris-Thousand\731\L\S5731L01.jpg,731
D:/study/iris/CASIA-Iris-Thousand\433\L\S5433L09.jpg,433
D:/study/iris/CASIA-Iris-Thousand\844\R\S5844R00.jpg,844
D:/study/iris/CASIA-Iris-Thousand\629\R\S5629R02.jpg,629
D:/study/iris/CASIA-Iris-Thousand\000\L\S5000L04.jpg,0
D:/study/iris/CASIA-Iris-Thousand\838\R\S5838R02.jpg,838
D:/study/iris/CASIA-Iris-Thousand\956\R\S5956R07.jpg,956
D:/study/iris/CASIA-Iris-Thousand\682\R\S5682R03.jpg,682
D:/study/iris/CASIA-Iris-Thousand\660\L\S5660L06.jpg,660
D:/study/iris/CASIA-Iris-Thousand\786\R\S5786R03.jpg,786
D:/study/iris/CASIA-Iris-Thousand\682\L\S5682L06.jpg,682
D:/study/iris/CASIA-Iris-Thousand\632\L\S5632L03.jpg,632
D:/study/iris/CASIA-Iris-Thousand\409\R\S5409R07.jpg,409
D:/study/iris/CASIA-Iris-Thousand\787\L\S5787L05.jpg,787
D:/study/iris/CASIA-Iris-Thousand\585\R\S5585R04.jpg,585
D:/study/iris/CASIA-Iris-Thousand\443\L\S5443L07.jpg,443
D:/study/iris/CASIA-Iris-Thousand\616\R\S5616R01.jpg,616
D:/study/iris/CASIA-Iris-Thousand\411\R\S5411R09.jpg,411
D:/study/iris/CASIA-Iris-Thousand\979\R\S5979R04.jpg,979
D:/study/iris/CASIA-Iris-Thousand\126\L\S5126L02.jpg,126
D:/study/iris/CASIA-Iris-Thousand\037\R\S5037R01.jpg,37
D:/study/iris/CASIA-Iris-Thousand\092\L\S5092L09.jpg,92
D:/study/iris/CASIA-Iris-Thousand\986\L\S5986L03.jpg,986
D:/study/iris/CASIA-Iris-Thousand\703\R\S5703R05.jpg,703
D:/study/iris/CASIA-Iris-Thousand\296\L\S5296L08.jpg,296
D:/study/iris/CASIA-Iris-Thousand\229\L\S5229L08.jpg,229
D:/study/iris/CASIA-Iris-Thousand\476\R\S5476R03.jpg,476
D:/study/iris/CASIA-Iris-Thousand\459\R\S5459R06.jpg,459
D:/study/iris/CASIA-Iris-Thousand\351\R\S5351R00.jpg,351
D:/study/iris/CASIA-Iris-Thousand\502\R\S5502R05.jpg,502
D:/study/iris/CASIA-Iris-Thousand\283\L\S5283L09.jpg,283
D:/study/iris/CASIA-Iris-Thousand\932\L\S5932L05.jpg,932
D:/study/iris/CASIA-Iris-Thousand\208\R\S5208R07.jpg,208
D:/study/iris/CASIA-Iris-Thousand\892\L\S5892L02.jpg,892
D:/study/iris/CASIA-Iris-Thousand\826\R\S5826R04.jpg,826
D:/study/iris/CASIA-Iris-Thousand\718\R\S5718R09.jpg,718
D:/study/iris/CASIA-Iris-Thousand\614\L\S5614L06.jpg,614
D:/study/iris/CASIA-Iris-Thousand\630\R\S5630R08.jpg,630
D:/study/iris/CASIA-Iris-Thousand\203\L\S5203L06.jpg,203
D:/study/iris/CASIA-Iris-Thousand\137\R\S5137R09.jpg,137
D:/study/iris/CASIA-Iris-Thousand\691\L\S5691L06.jpg,691
D:/study/iris/CASIA-Iris-Thousand\834\L\S5834L03.jpg,834
D:/study/iris/CASIA-Iris-Thousand\601\R\S5601R04.jpg,601
D:/study/iris/CASIA-Iris-Thousand\617\R\S5617R00.jpg,617
D:/study/iris/CASIA-Iris-Thousand\194\L\S5194L09.jpg,194
D:/study/iris/CASIA-Iris-Thousand\683\R\S5683R09.jpg,683
D:/study/iris/CASIA-Iris-Thousand\675\R\S5675R00.jpg,675
D:/study/iris/CASIA-Iris-Thousand\238\R\S5238R09.jpg,238
D:/study/iris/CASIA-Iris-Thousand\397\R\S5397R06.jpg,397
D:/study/iris/CASIA-Iris-Thousand\671\R\S5671R09.jpg,671
D:/study/iris/CASIA-Iris-Thousand\858\R\S5858R06.jpg,858
D:/study/iris/CASIA-Iris-Thousand\959\L\S5959L03.jpg,959
D:/study/iris/CASIA-Iris-Thousand\593\L\S5593L04.jpg,593
D:/study/iris/CASIA-Iris-Thousand\784\R\S5784R07.jpg,784
D:/study/iris/CASIA-Iris-Thousand\093\L\S5093L00.jpg,93
D:/study/iris/CASIA-Iris-Thousand\328\R\S5328R07.jpg,328
D:/study/iris/CASIA-Iris-Thousand\458\R\S5458R08.jpg,458
D:/study/iris/CASIA-Iris-Thousand\356\R\S5356R01.jpg,356
D:/study/iris/CASIA-Iris-Thousand\816\L\S5816L08.jpg,816
D:/study/iris/CASIA-Iris-Thousand\620\R\S5620R01.jpg,620
D:/study/iris/CASIA-Iris-Thousand\038\R\S5038R02.jpg,38
D:/study/iris/CASIA-Iris-Thousand\362\L\S5362L08.jpg,362
D:/study/iris/CASIA-Iris-Thousand\810\L\S5810L01.jpg,810
D:/study/iris/CASIA-Iris-Thousand\227\R\S5227R09.jpg,227
D:/study/iris/CASIA-Iris-Thousand\623\L\S5623L00.jpg,623
D:/study/iris/CASIA-Iris-Thousand\874\R\S5874R03.jpg,874
D:/study/iris/CASIA-Iris-Thousand\973\L\S5973L03.jpg,973
D:/study/iris/CASIA-Iris-Thousand\172\L\S5172L08.jpg,172
D:/study/iris/CASIA-Iris-Thousand\373\R\S5373R01.jpg,373
D:/study/iris/CASIA-Iris-Thousand\465\L\S5465L05.jpg,465
D:/study/iris/CASIA-Iris-Thousand\193\L\S5193L01.jpg,193
D:/study/iris/CASIA-Iris-Thousand\902\R\S5902R08.jpg,902
D:/study/iris/CASIA-Iris-Thousand\305\R\S5305R09.jpg,305
D:/study/iris/CASIA-Iris-Thousand\961\R\S5961R05.jpg,961
D:/study/iris/CASIA-Iris-Thousand\687\L\S5687L09.jpg,687
D:/study/iris/CASIA-Iris-Thousand\282\L\S5282L04.jpg,282
D:/study/iris/CASIA-Iris-Thousand\859\L\S5859L08.jpg,859
D:/study/iris/CASIA-Iris-Thousand\838\L\S5838L08.jpg,838
D:/study/iris/CASIA-Iris-Thousand\258\R\S5258R02.jpg,258
D:/study/iris/CASIA-Iris-Thousand\438\L\S5438L00.jpg,438
D:/study/iris/CASIA-Iris-Thousand\444\L\S5444L03.jpg,444
D:/study/iris/CASIA-Iris-Thousand\898\L\S5898L07.jpg,898
D:/study/iris/CASIA-Iris-Thousand\295\R\S5295R03.jpg,295
D:/study/iris/CASIA-Iris-Thousand\800\L\S5800L02.jpg,800
D:/study/iris/CASIA-Iris-Thousand\589\L\S5589L04.jpg,589
D:/study/iris/CASIA-Iris-Thousand\824\L\S5824L05.jpg,824
D:/study/iris/CASIA-Iris-Thousand\873\R\S5873R07.jpg,873
D:/study/iris/CASIA-Iris-Thousand\594\R\S5594R07.jpg,594
D:/study/iris/CASIA-Iris-Thousand\602\R\S5602R06.jpg,602
D:/study/iris/CASIA-Iris-Thousand\569\L\S5569L01.jpg,569
D:/study/iris/CASIA-Iris-Thousand\328\L\S5328L07.jpg,328
D:/study/iris/CASIA-Iris-Thousand\607\L\S5607L00.jpg,607
D:/study/iris/CASIA-Iris-Thousand\525\R\S5525R07.jpg,525
D:/study/iris/CASIA-Iris-Thousand\467\R\S5467R03.jpg,467
D:/study/iris/CASIA-Iris-Thousand\957\R\S5957R05.jpg,957
D:/study/iris/CASIA-Iris-Thousand\449\L\S5449L01.jpg,449
D:/study/iris/CASIA-Iris-Thousand\231\R\S5231R05.jpg,231
D:/study/iris/CASIA-Iris-Thousand\375\L\S5375L02.jpg,375
D:/study/iris/CASIA-Iris-Thousand\845\L\S5845L04.jpg,845
D:/study/iris/CASIA-Iris-Thousand\836\L\S5836L00.jpg,836
D:/study/iris/CASIA-Iris-Thousand\797\R\S5797R08.jpg,797
D:/study/iris/CASIA-Iris-Thousand\891\R\S5891R05.jpg,891
D:/study/iris/CASIA-Iris-Thousand\084\R\S5084R00.jpg,84
D:/study/iris/CASIA-Iris-Thousand\861\R\S5861R07.jpg,861
D:/study/iris/CASIA-Iris-Thousand\970\R\S5970R00.jpg,970
D:/study/iris/CASIA-Iris-Thousand\399\R\S5399R07.jpg,399
D:/study/iris/CASIA-Iris-Thousand\690\L\S5690L02.jpg,690
D:/study/iris/CASIA-Iris-Thousand\616\L\S5616L05.jpg,616
D:/study/iris/CASIA-Iris-Thousand\953\R\S5953R01.jpg,953
D:/study/iris/CASIA-Iris-Thousand\997\R\S5997R03.jpg,997
D:/study/iris/CASIA-Iris-Thousand\389\L\S5389L03.jpg,389
D:/study/iris/CASIA-Iris-Thousand\858\L\S5858L09.jpg,858
D:/study/iris/CASIA-Iris-Thousand\006\R\S5006R06.jpg,6
D:/study/iris/CASIA-Iris-Thousand\834\L\S5834L06.jpg,834
D:/study/iris/CASIA-Iris-Thousand\108\R\S5108R05.jpg,108
D:/study/iris/CASIA-Iris-Thousand\762\L\S5762L04.jpg,762
D:/study/iris/CASIA-Iris-Thousand\871\R\S5871R03.jpg,871
D:/study/iris/CASIA-Iris-Thousand\980\L\S5980L09.jpg,980
D:/study/iris/CASIA-Iris-Thousand\822\L\S5822L09.jpg,822
D:/study/iris/CASIA-Iris-Thousand\518\L\S5518L02.jpg,518
D:/study/iris/CASIA-Iris-Thousand\424\R\S5424R00.jpg,424
D:/study/iris/CASIA-Iris-Thousand\962\L\S5962L03.jpg,962
D:/study/iris/CASIA-Iris-Thousand\566\R\S5566R08.jpg,566
D:/study/iris/CASIA-Iris-Thousand\267\R\S5267R05.jpg,267
D:/study/iris/CASIA-Iris-Thousand\983\L\S5983L02.jpg,983
D:/study/iris/CASIA-Iris-Thousand\976\R\S5976R02.jpg,976
D:/study/iris/CASIA-Iris-Thousand\901\L\S5901L08.jpg,901
D:/study/iris/CASIA-Iris-Thousand\608\L\S5608L04.jpg,608
D:/study/iris/CASIA-Iris-Thousand\693\L\S5693L04.jpg,693
D:/study/iris/CASIA-Iris-Thousand\656\R\S5656R05.jpg,656
D:/study/iris/CASIA-Iris-Thousand\208\R\S5208R09.jpg,208
D:/study/iris/CASIA-Iris-Thousand\568\L\S5568L09.jpg,568
D:/study/iris/CASIA-Iris-Thousand\419\L\S5419L05.jpg,419
D:/study/iris/CASIA-Iris-Thousand\544\R\S5544R00.jpg,544
D:/study/iris/CASIA-Iris-Thousand\704\R\S5704R05.jpg,704
D:/study/iris/CASIA-Iris-Thousand\217\R\S5217R06.jpg,217
D:/study/iris/CASIA-Iris-Thousand\410\R\S5410R03.jpg,410
D:/study/iris/CASIA-Iris-Thousand\335\R\S5335R00.jpg,335
D:/study/iris/CASIA-Iris-Thousand\964\L\S5964L06.jpg,964
D:/study/iris/CASIA-Iris-Thousand\799\L\S5799L06.jpg,799
D:/study/iris/CASIA-Iris-Thousand\871\L\S5871L02.jpg,871
D:/study/iris/CASIA-Iris-Thousand\429\R\S5429R09.jpg,429
D:/study/iris/CASIA-Iris-Thousand\688\R\S5688R04.jpg,688
D:/study/iris/CASIA-Iris-Thousand\172\L\S5172L02.jpg,172
D:/study/iris/CASIA-Iris-Thousand\583\R\S5583R05.jpg,583
D:/study/iris/CASIA-Iris-Thousand\381\R\S5381R06.jpg,381
D:/study/iris/CASIA-Iris-Thousand\249\R\S5249R01.jpg,249
D:/study/iris/CASIA-Iris-Thousand\823\L\S5823L09.jpg,823
D:/study/iris/CASIA-Iris-Thousand\426\L\S5426L07.jpg,426
D:/study/iris/CASIA-Iris-Thousand\474\L\S5474L05.jpg,474
D:/study/iris/CASIA-Iris-Thousand\364\L\S5364L09.jpg,364
D:/study/iris/CASIA-Iris-Thousand\762\L\S5762L02.jpg,762
D:/study/iris/CASIA-Iris-Thousand\715\R\S5715R08.jpg,715
D:/study/iris/CASIA-Iris-Thousand\819\L\S5819L06.jpg,819
D:/study/iris/CASIA-Iris-Thousand\199\R\S5199R08.jpg,199
D:/study/iris/CASIA-Iris-Thousand\405\R\S5405R07.jpg,405
D:/study/iris/CASIA-Iris-Thousand\881\R\S5881R01.jpg,881
D:/study/iris/CASIA-Iris-Thousand\575\L\S5575L01.jpg,575
D:/study/iris/CASIA-Iris-Thousand\013\L\S5013L01.jpg,13
D:/study/iris/CASIA-Iris-Thousand\129\R\S5129R00.jpg,129
D:/study/iris/CASIA-Iris-Thousand\080\L\S5080L06.jpg,80
D:/study/iris/CASIA-Iris-Thousand\524\L\S5524L09.jpg,524
D:/study/iris/CASIA-Iris-Thousand\907\R\S5907R04.jpg,907
D:/study/iris/CASIA-Iris-Thousand\963\L\S5963L07.jpg,963
D:/study/iris/CASIA-Iris-Thousand\552\L\S5552L01.jpg,552
D:/study/iris/CASIA-Iris-Thousand\786\R\S5786R08.jpg,786
D:/study/iris/CASIA-Iris-Thousand\941\R\S5941R03.jpg,941
D:/study/iris/CASIA-Iris-Thousand\417\L\S5417L04.jpg,417
D:/study/iris/CASIA-Iris-Thousand\032\R\S5032R04.jpg,32
D:/study/iris/CASIA-Iris-Thousand\211\L\S5211L01.jpg,211
D:/study/iris/CASIA-Iris-Thousand\072\L\S5072L09.jpg,72
D:/study/iris/CASIA-Iris-Thousand\745\L\S5745L09.jpg,745
D:/study/iris/CASIA-Iris-Thousand\101\R\S5101R02.jpg,101
D:/study/iris/CASIA-Iris-Thousand\543\R\S5543R05.jpg,543
D:/study/iris/CASIA-Iris-Thousand\540\R\S5540R03.jpg,540
D:/study/iris/CASIA-Iris-Thousand\983\R\S5983R07.jpg,983
D:/study/iris/CASIA-Iris-Thousand\653\L\S5653L03.jpg,653
D:/study/iris/CASIA-Iris-Thousand\967\R\S5967R05.jpg,967
D:/study/iris/CASIA-Iris-Thousand\970\R\S5970R05.jpg,970
D:/study/iris/CASIA-Iris-Thousand\576\L\S5576L08.jpg,576
D:/study/iris/CASIA-Iris-Thousand\865\R\S5865R04.jpg,865
D:/study/iris/CASIA-Iris-Thousand\809\R\S5809R04.jpg,809
D:/study/iris/CASIA-Iris-Thousand\204\R\S5204R03.jpg,204
D:/study/iris/CASIA-Iris-Thousand\325\L\S5325L09.jpg,325
D:/study/iris/CASIA-Iris-Thousand\579\R\S5579R00.jpg,579
D:/study/iris/CASIA-Iris-Thousand\662\L\S5662L04.jpg,662
D:/study/iris/CASIA-Iris-Thousand\512\L\S5512L05.jpg,512
D:/study/iris/CASIA-Iris-Thousand\484\R\S5484R04.jpg,484
D:/study/iris/CASIA-Iris-Thousand\058\R\S5058R06.jpg,58
D:/study/iris/CASIA-Iris-Thousand\783\R\S5783R04.jpg,783
D:/study/iris/CASIA-Iris-Thousand\908\L\S5908L06.jpg,908
D:/study/iris/CASIA-Iris-Thousand\523\L\S5523L03.jpg,523
D:/study/iris/CASIA-Iris-Thousand\823\L\S5823L03.jpg,823
D:/study/iris/CASIA-Iris-Thousand\434\L\S5434L01.jpg,434
D:/study/iris/CASIA-Iris-Thousand\362\L\S5362L05.jpg,362
D:/study/iris/CASIA-Iris-Thousand\833\L\S5833L07.jpg,833
D:/study/iris/CASIA-Iris-Thousand\630\R\S5630R00.jpg,630
D:/study/iris/CASIA-Iris-Thousand\570\L\S5570L08.jpg,570
D:/study/iris/CASIA-Iris-Thousand\505\L\S5505L04.jpg,505
D:/study/iris/CASIA-Iris-Thousand\425\R\S5425R08.jpg,425
D:/study/iris/CASIA-Iris-Thousand\550\L\S5550L04.jpg,550
D:/study/iris/CASIA-Iris-Thousand\681\R\S5681R09.jpg,681
D:/study/iris/CASIA-Iris-Thousand\604\R\S5604R08.jpg,604
D:/study/iris/CASIA-Iris-Thousand\318\R\S5318R03.jpg,318
D:/study/iris/CASIA-Iris-Thousand\281\R\S5281R00.jpg,281
D:/study/iris/CASIA-Iris-Thousand\314\L\S5314L08.jpg,314
D:/study/iris/CASIA-Iris-Thousand\791\L\S5791L05.jpg,791
D:/study/iris/CASIA-Iris-Thousand\499\R\S5499R03.jpg,499
D:/study/iris/CASIA-Iris-Thousand\842\L\S5842L00.jpg,842
D:/study/iris/CASIA-Iris-Thousand\933\R\S5933R05.jpg,933
D:/study/iris/CASIA-Iris-Thousand\413\L\S5413L03.jpg,413
D:/study/iris/CASIA-Iris-Thousand\458\R\S5458R09.jpg,458
D:/study/iris/CASIA-Iris-Thousand\505\R\S5505R07.jpg,505
D:/study/iris/CASIA-Iris-Thousand\165\R\S5165R07.jpg,165
D:/study/iris/CASIA-Iris-Thousand\369\R\S5369R04.jpg,369
D:/study/iris/CASIA-Iris-Thousand\971\L\S5971L02.jpg,971
D:/study/iris/CASIA-Iris-Thousand\216\R\S5216R02.jpg,216
D:/study/iris/CASIA-Iris-Thousand\001\R\S5001R00.jpg,1
D:/study/iris/CASIA-Iris-Thousand\820\R\S5820R02.jpg,820
D:/study/iris/CASIA-Iris-Thousand\106\L\S5106L04.jpg,106
D:/study/iris/CASIA-Iris-Thousand\401\L\S5401L07.jpg,401
D:/study/iris/CASIA-Iris-Thousand\825\R\S5825R04.jpg,825
D:/study/iris/CASIA-Iris-Thousand\135\L\S5135L04.jpg,135
D:/study/iris/CASIA-Iris-Thousand\245\L\S5245L03.jpg,245
D:/study/iris/CASIA-Iris-Thousand\603\R\S5603R08.jpg,603
D:/study/iris/CASIA-Iris-Thousand\342\L\S5342L03.jpg,342
D:/study/iris/CASIA-Iris-Thousand\464\R\S5464R00.jpg,464
D:/study/iris/CASIA-Iris-Thousand\648\R\S5648R06.jpg,648
D:/study/iris/CASIA-Iris-Thousand\551\L\S5551L04.jpg,551
D:/study/iris/CASIA-Iris-Thousand\071\R\S5071R04.jpg,71
D:/study/iris/CASIA-Iris-Thousand\553\R\S5553R06.jpg,553
D:/study/iris/CASIA-Iris-Thousand\751\L\S5751L04.jpg,751
D:/study/iris/CASIA-Iris-Thousand\537\R\S5537R01.jpg,537
D:/study/iris/CASIA-Iris-Thousand\959\R\S5959R03.jpg,959
D:/study/iris/CASIA-Iris-Thousand\869\R\S5869R06.jpg,869
D:/study/iris/CASIA-Iris-Thousand\894\R\S5894R08.jpg,894
D:/study/iris/CASIA-Iris-Thousand\700\L\S5700L05.jpg,700
D:/study/iris/CASIA-Iris-Thousand\662\R\S5662R04.jpg,662
D:/study/iris/CASIA-Iris-Thousand\802\L\S5802L08.jpg,802
D:/study/iris/CASIA-Iris-Thousand\913\L\S5913L04.jpg,913
D:/study/iris/CASIA-Iris-Thousand\742\R\S5742R00.jpg,742
D:/study/iris/CASIA-Iris-Thousand\187\L\S5187L06.jpg,187
D:/study/iris/CASIA-Iris-Thousand\765\R\S5765R09.jpg,765
D:/study/iris/CASIA-Iris-Thousand\054\R\S5054R02.jpg,54
D:/study/iris/CASIA-Iris-Thousand\464\L\S5464L08.jpg,464
D:/study/iris/CASIA-Iris-Thousand\891\L\S5891L00.jpg,891
D:/study/iris/CASIA-Iris-Thousand\404\R\S5404R03.jpg,404
D:/study/iris/CASIA-Iris-Thousand\587\R\S5587R06.jpg,587
D:/study/iris/CASIA-Iris-Thousand\407\L\S5407L05.jpg,407
D:/study/iris/CASIA-Iris-Thousand\587\L\S5587L03.jpg,587
D:/study/iris/CASIA-Iris-Thousand\592\R\S5592R04.jpg,592
D:/study/iris/CASIA-Iris-Thousand\296\R\S5296R05.jpg,296
D:/study/iris/CASIA-Iris-Thousand\936\R\S5936R08.jpg,936
D:/study/iris/CASIA-Iris-Thousand\448\R\S5448R07.jpg,448
D:/study/iris/CASIA-Iris-Thousand\029\R\S5029R06.jpg,29
D:/study/iris/CASIA-Iris-Thousand\745\L\S5745L00.jpg,745
D:/study/iris/CASIA-Iris-Thousand\625\L\S5625L09.jpg,625
D:/study/iris/CASIA-Iris-Thousand\675\L\S5675L02.jpg,675
D:/study/iris/CASIA-Iris-Thousand\822\L\S5822L05.jpg,822
D:/study/iris/CASIA-Iris-Thousand\869\L\S5869L04.jpg,869
D:/study/iris/CASIA-Iris-Thousand\173\L\S5173L00.jpg,173
D:/study/iris/CASIA-Iris-Thousand\688\R\S5688R03.jpg,688
D:/study/iris/CASIA-Iris-Thousand\112\L\S5112L07.jpg,112
D:/study/iris/CASIA-Iris-Thousand\429\R\S5429R01.jpg,429
D:/study/iris/CASIA-Iris-Thousand\220\L\S5220L09.jpg,220
D:/study/iris/CASIA-Iris-Thousand\730\L\S5730L01.jpg,730
D:/study/iris/CASIA-Iris-Thousand\961\L\S5961L09.jpg,961
D:/study/iris/CASIA-Iris-Thousand\581\L\S5581L04.jpg,581
D:/study/iris/CASIA-Iris-Thousand\456\R\S5456R07.jpg,456
D:/study/iris/CASIA-Iris-Thousand\001\R\S5001R08.jpg,1
D:/study/iris/CASIA-Iris-Thousand\194\R\S5194R04.jpg,194
D:/study/iris/CASIA-Iris-Thousand\843\R\S5843R08.jpg,843
D:/study/iris/CASIA-Iris-Thousand\711\R\S5711R05.jpg,711
D:/study/iris/CASIA-Iris-Thousand\773\L\S5773L04.jpg,773
D:/study/iris/CASIA-Iris-Thousand\862\R\S5862R03.jpg,862
D:/study/iris/CASIA-Iris-Thousand\409\R\S5409R09.jpg,409
D:/study/iris/CASIA-Iris-Thousand\625\L\S5625L01.jpg,625
D:/study/iris/CASIA-Iris-Thousand\458\L\S5458L02.jpg,458
D:/study/iris/CASIA-Iris-Thousand\097\L\S5097L01.jpg,97
D:/study/iris/CASIA-Iris-Thousand\252\L\S5252L05.jpg,252
D:/study/iris/CASIA-Iris-Thousand\162\R\S5162R08.jpg,162
D:/study/iris/CASIA-Iris-Thousand\226\L\S5226L03.jpg,226
D:/study/iris/CASIA-Iris-Thousand\965\L\S5965L02.jpg,965
D:/study/iris/CASIA-Iris-Thousand\874\R\S5874R06.jpg,874
D:/study/iris/CASIA-Iris-Thousand\618\R\S5618R05.jpg,618
D:/study/iris/CASIA-Iris-Thousand\488\R\S5488R05.jpg,488
D:/study/iris/CASIA-Iris-Thousand\947\L\S5947L01.jpg,947
D:/study/iris/CASIA-Iris-Thousand\213\L\S5213L04.jpg,213
D:/study/iris/CASIA-Iris-Thousand\312\L\S5312L09.jpg,312
D:/study/iris/CASIA-Iris-Thousand\047\R\S5047R07.jpg,47
D:/study/iris/CASIA-Iris-Thousand\918\L\S5918L06.jpg,918
D:/study/iris/CASIA-Iris-Thousand\328\L\S5328L04.jpg,328
D:/study/iris/CASIA-Iris-Thousand\391\R\S5391R09.jpg,391
D:/study/iris/CASIA-Iris-Thousand\278\R\S5278R07.jpg,278
D:/study/iris/CASIA-Iris-Thousand\871\R\S5871R07.jpg,871
D:/study/iris/CASIA-Iris-Thousand\963\R\S5963R03.jpg,963
D:/study/iris/CASIA-Iris-Thousand\035\L\S5035L07.jpg,35
D:/study/iris/CASIA-Iris-Thousand\072\R\S5072R09.jpg,72
D:/study/iris/CASIA-Iris-Thousand\382\R\S5382R06.jpg,382
D:/study/iris/CASIA-Iris-Thousand\918\R\S5918R02.jpg,918
D:/study/iris/CASIA-Iris-Thousand\490\L\S5490L05.jpg,490
D:/study/iris/CASIA-Iris-Thousand\327\L\S5327L08.jpg,327
D:/study/iris/CASIA-Iris-Thousand\145\L\S5145L00.jpg,145
D:/study/iris/CASIA-Iris-Thousand\796\R\S5796R04.jpg,796
D:/study/iris/CASIA-Iris-Thousand\910\R\S5910R04.jpg,910
D:/study/iris/CASIA-Iris-Thousand\599\L\S5599L05.jpg,599
D:/study/iris/CASIA-Iris-Thousand\871\L\S5871L00.jpg,871
D:/study/iris/CASIA-Iris-Thousand\368\L\S5368L00.jpg,368
D:/study/iris/CASIA-Iris-Thousand\959\R\S5959R01.jpg,959
D:/study/iris/CASIA-Iris-Thousand\150\R\S5150R01.jpg,150
D:/study/iris/CASIA-Iris-Thousand\620\R\S5620R04.jpg,620
D:/study/iris/CASIA-Iris-Thousand\325\R\S5325R00.jpg,325
D:/study/iris/CASIA-Iris-Thousand\708\L\S5708L00.jpg,708
D:/study/iris/CASIA-Iris-Thousand\961\R\S5961R04.jpg,961
D:/study/iris/CASIA-Iris-Thousand\150\L\S5150L06.jpg,150
D:/study/iris/CASIA-Iris-Thousand\474\L\S5474L07.jpg,474
D:/study/iris/CASIA-Iris-Thousand\056\R\S5056R03.jpg,56
D:/study/iris/CASIA-Iris-Thousand\645\L\S5645L01.jpg,645
D:/study/iris/CASIA-Iris-Thousand\583\L\S5583L01.jpg,583
D:/study/iris/CASIA-Iris-Thousand\200\L\S5200L04.jpg,200
D:/study/iris/CASIA-Iris-Thousand\327\R\S5327R01.jpg,327
D:/study/iris/CASIA-Iris-Thousand\930\R\S5930R03.jpg,930
D:/study/iris/CASIA-Iris-Thousand\574\L\S5574L03.jpg,574
D:/study/iris/CASIA-Iris-Thousand\979\R\S5979R08.jpg,979
D:/study/iris/CASIA-Iris-Thousand\351\L\S5351L09.jpg,351
